Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
112,641101521,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ BISTRIȚA-NĂSĂUD,CJRAE BISTRIȚA-NĂSĂUD,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
113,841100015,Centrul Județean de Resurse și Asistență Educațională Brașov,CJRAE Brașov,BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
114,5141100714,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ CĂLĂRAȘI,C.J.R.A.E. CĂLĂRAȘI,CĂLĂRAŞI,MUNICIPIUL CĂLĂRAŞI,CĂLĂRAŞI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
115,1341104987,CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CONSTANŢA,CJRAE CȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
116,1741100796,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ GALAȚI,CJRAE GL,GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
117,5241102149,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ GIURGIU,CJRAE GIURGIU,GIURGIU,MUNICIPIUL GIURGIU,GIURGIU,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
118,1841105456,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ GORJ,C.J.R.A.E. GORJ,TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
119,2241105006,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ IAȘI,CJRAE IASI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
120,2441103453,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ MARAMUREȘ,CJRAEMM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
121,1041104422,CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ MUNICIPIUL BUZĂU,CJRAE BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
122,2741100016,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ NEAMȚ,"CJRAE, NȚ",PIATRA-NEAMŢ,MUNICIPIUL PIATRA-NEAMŢ,NEAMŢ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
123,2941102015,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ PRAHOVA,CENTRUL JUD DE RESURSE PRAHOVA,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
124,3041101477,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ SATU MARE,CJRAE SATU MARE,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
125,3241102118,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ SIBIU,CJRAE SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
126,3341107976,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ SUCEAVA,CJRAE SUCEAVA,SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
127,3441100895,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ TELEORMAN,CJRAE TELEORMAN,ALEXANDRIA,MUNICIPIUL ALEXANDRIA,TELEORMAN,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
128,3541106176,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ TIMIȘ,CJRAE TIMIȘ,TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
129,3641100327,CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENȚĂ EDUCAŢIONALĂ TULCEA,CJRAE TULCEA,TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
130,3741104967,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ VASLUI,CJRAE VASLUI,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
131,3841100627,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ VÂLCEA,CJRAE VALCEA,RÂMNICU VÂLCEA,MUNICIPIUL RÂMNICU VÂLCEA,VÂLCEA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
132,3941105219,CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ VRANCEA,CJRAE VRANCEA,FOCŞANI,MUNICIPIUL FOCŞANI,VRANCEA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
133,1441100032,Centrul Județean de Resurse și de Asistență Educațională,CJRAE COVASNA,SFÂNTU GHEORGHE,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
134,241100693,CENTRUL JUDEŢEAN DE RESURSE ŞI DE ASISTENŢĂ EDUCAŢIONALĂ ARAD,CJRAE ARAD,ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
135,941101697,CENTRUL JUDEŢEAN DE RESURSE ŞI DE ASISTENŢĂ EDUCAŢIONALĂ BRĂILA,CJRAE BRĂILA,BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
136,1141104072,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ CARAȘ-SEVERIN,CJRAE,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
137,1241102652,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ CLUJ,C.J.R.A.E. CLUJ,CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
138,1541100781,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ DÂMBOVIȚA,CJRAE DÂMBOVIȚA,TÂRGOVIŞTE,MUNICIPIUL TÂRGOVIŞTE,DÂMBOVIŢA,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
139,2841101368,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ OLT,CJRAE OLT,SLATINA,MUNICIPIUL SLATINA,OLT,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
140,3141100461,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ SĂLAJ,CJRAE SĂLAJ,ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
141,2341101353,CENTRUL JUDEȚEAN RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ,CENTRUL JUDEȚEAN RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ,BRĂNEŞTI,BRĂNEŞTI,ILFOV,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
142,442108662,CENTRUL LOGOPEDIC BACĂU,CENTRUL LOGOPEDIC BACĂU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
143,1742100353,CENTRUL LOGOPEDIC GALAȚI,CENTRUL LOGOPEDIC GL,GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
144,2242104403,CENTRUL LOGOPEDIC IAȘI,CENTRUL LOGOPEDIC IASI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
145,3342108484,CENTRUL LOGOPEDIC INTERSCOLAR SUCEAVA,CLI SUCEAVA,SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
146,362107148,CENTRUL LOGOPEDIC INTERȘCOLAR CURTEA DE ARGEȘ,CLI CURTEA DE ARGEȘ,CURTEA DE ARGEŞ,MUNICIPIUL CURTEA DE ARGEŞ,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
147,1042104006,CENTRUL LOGOPEDIC INTERŞCOLAR MUNICIPIUL BUZĂU,CLI BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
148,1042103986,CENTRUL LOGOPEDIC INTERŞCOLAR MUNICIPIUL RÂMNICU SĂRAT,CLI BZ,RÂMNICU SĂRAT,MUNICIPIUL RÂMNICU SĂRAT,BUZĂU,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
149,362107139,CENTRUL LOGOPEDIC INTERȘCOLAR PITEȘTI,CLI PITEȘTI,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
150,1142102875,CENTRUL LOGOPEDIC INTERȘCOLAR REȘIȚA,CLI RESITA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
151,3042100598,CENTRUL LOGOPEDIC SATU MARE,CLO SATU MARE,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Arondată,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
152,4091108561,Centrul Municipiului București de Excelență,Centrul de Excelență,BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Centru Județean de Excelență,Publică de interes naţional şi local
153,4041104464,Centrul Municipiului Bucureşti de resurse şi asistenţă educaţională,CMBRAE,BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Centru județean de resurse și asistență educațională,Publică de interes naţional şi local
154,4092108534,Centrul Național de Politici și Evaluare în Educație,CNPEE,BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Arondată,Centrul Național de Politici și Evaluare în Educație,Publică de interes naţional şi local
155,4062106544,"Centrul pilot de pedagogie curativă şi terapie socială ""Corabia""",Centrul pilot Corabia,BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
156,961102012,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ,BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
157,161102318,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ALBA IULIA,CSEI ALBA IULIA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
158,3461103872,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ALEXANDRIA,CSEI ALEXANDRIA,ALEXANDRIA,MUNICIPIUL ALEXANDRIA,TELEORMAN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
159,1161103936,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""AURORA"" REȘIȚA",SS RESITA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
160,2461101895,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ BAIA MARE,CSEI BM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
161,661100774,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ BECLEAN,CSEI BECLEAN,BECLEAN,ORAŞ BECLEAN,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
162,561109097,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ „BONITAS"" ORADEA","CSEI „BONITAS"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
163,562109581,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ „BONITAS"" SALONTA",CȘEI BONITAS SALONTA,SALONTA,MUNICIPIUL SALONTA,BIHOR,Arondată,Unitate de învățământ,Publică de interes naţional şi local
164,562109599,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ „BONITAS"" VALEA LUI MIHAI",CȘEI BONITAS VALEA LUI MIHAI,VALEA LUI MIHAI,ORAŞ VALEA LUI MIHAI,BIHOR,Arondată,Unitate de învățământ,Publică de interes naţional şi local
165,1161103945,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ CARANSEBEȘ,CSEI CARANSEBES,CARANSEBEŞ,MUNICIPIUL CARANSEBEŞ,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
166,1161103791,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""CHRISTIANA"" BOCŞA",SS BOCSA,BOCŞA,ORAŞ BOCŞA,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
167,2961107292,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ, COMUNA FILIPEȘTII DE TÂRG",SCOALA SPECIALA FILIPEȘTII DE TÂRG,FILIPEŞTII DE TÂRG,FILIPEŞTII DE TÂRG,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
168,3761104199,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""CONSTANTIN PUFAN"", MUNICIPIUL VASLUI",CSEI C. PUFAN VASLUI,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
169,561101686,"CENTRUL ȘCOLAR DE EDUCAŢIE INCLUZIVĂ „CRISTAL"" ORADEA",CŞEI CRISTAL ORADEA,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
170,3261100094,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ DUMBRĂVENI,CSEI DUMBRĂVENI,DUMBRĂVENI,ORAŞ DUMBRĂVENI,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
171,3761104163,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""ELISABETA POLIHRONIADE"", MUNICIPIUL VASLUI",CSEI E. POLIHRONIADE,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
172,661101291,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""LACRIMA"" UNIREA","CSEI ""LACRIMA"" UNIREA",BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
173,562109572,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ MARGHITA,CȘEI MARGHITA,MARGHITA,MUNICIPIUL  MARGHITA,BIHOR,Arondată,Unitate de învățământ,Publică de interes naţional şi local
174,3261102562,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MEDIAŞ,CSEI MEDIAȘ,MEDIAŞ,MUNICIPIUL MEDIAŞ,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
175,1061104301,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MUNICIPIUL BUZĂU,CSEI BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
176,1061104156,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MUNICIPIUL RÂMNICU SĂRAT,CSEI RM.SĂRAT,RÂMNICU SĂRAT,MUNICIPIUL RÂMNICU SĂRAT,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
177,662104014,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NĂSĂUD,CSEI NĂSĂUD,NĂSĂUD,ORAŞ NĂSĂUD,BISTRIŢA-NĂSĂUD,Arondată,Unitate de învățământ,Publică de interes naţional şi local
178,4061103238,Centrul Școlar de Educație Incluzivă nr. 1,Centrul Școlar de Educație Incluzivă nr. 1,BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
179,461108401,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ NR 1 BACĂU,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ NR 1 BACĂU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
180,3261102087,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR. 1 SIBIU,CSEI NR 1 SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
181,461106575,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ NR 2 COMĂNEŞTI,CENTRUL ŞC. DE EDUCAŢIE INCLUZIVĂ NR 2 COMĂNEŞTI,COMĂNEŞTI,ORAŞ COMĂNEŞTI,BACĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
182,3261101742,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR. 2 SIBIU,CSEI NR 2 SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
183,2661104235,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR. 3 REGHIN,CSEI NR. 3 REGHIN,REGHIN,MUNICIPIUL REGHIN,MUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
184,4061100461,Centrul Școlar de Educație Incluzivă nr. 5,Centrul Școlar de Educație Incluzivă nr. 5,BUCUREŞTI SECTORUL 3,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
185,661103655,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1 BISTRIȚA,CSEI NR 1 BISTRIȚA,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
186,2961100258,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1, MUNICIPIUL PLOIEȘTI",SCOALA SPECIALA NR.1 PLOIESTI,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
187,561101944,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1 ORADEA,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1 ORADEA,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
188,561100943,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1 POPEȘTI,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1 POPEȘTI,POPEŞTI,POPEŞTI,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
189,661103732,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.2 BISTRIȚA,CSEI NR 2 BISTRIȚA,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
190,2961100276,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.2, MUNICIPIUL PLOIEȘTI",SCOALA SPECIALA NR. 2 PLOIESTI,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
191,3761104914,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ, ORAȘ NEGREȘTI",CSEI NEGREȘTI,NEGREŞTI,ORAŞ NEGREŞTI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
192,2961101752,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ, ORAȘUL BREAZA",SCOALA PROFESIONALA SPECIALA BREAZA,BREAZA DE SUS,ORAŞ BREAZA,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
193,2961101485,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ, ORAȘUL VĂLENII DE MUNTE",SCOALA SPECIALA VALENII DE MUNTE,VĂLENII DE MUNTE,ORAŞ VĂLENII DE MUNTE,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
194,561108422,"CENTRUL ȘCOLAR DE EDUCAŢIE INCLUZIVĂ „ORIZONT"" ORADEA",CŞEI ORIZONT ORADEA,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
195,562109563,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ „ORIZONT"" TILEAGD",CȘEI ORIZONT TILEAGD,TILEAGD,TILEAGD,BIHOR,Arondată,Unitate de învățământ,Publică de interes naţional şi local
196,1161104114,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""PRIMĂVARA"" REȘIȚA",PRIMAVARA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
197,3461100607,CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ROȘIORI DE VEDE,CSEI ROȘIORI DE VEDE,ROSIORI DE VEDE,MUNICIPIUL ROŞIORI DE VEDE,TELEORMAN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
198,3361103774,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""SF. ANDREI"" GURA HUMORULUI",CENTRUL ȘCOLAR ”SF. ANDREI” GURA HUMORULUI,GURA HUMORULUI,ORAŞ GURA HUMORULUI,SUCEAVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
199,361105096,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""SFÂNTA FILOFTEIA"" ȘTEFĂNEȘTI",CSEI SF. FILOFTEIA ȘTEFĂNEȘTI,ŞTEFĂNEŞTI,ORAŞ ŞTEFĂNEŞTI,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
200,361100218,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""SFÂNTA MARINA"" CURTEA DE ARGEȘ",CSEI SF. MARINA CURTEA DE ARGEȘ,CURTEA DE ARGEŞ,MUNICIPIUL CURTEA DE ARGEŞ,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
201,361104412,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ""SFÂNTUL NICOLAE"" CÂMPULUNG",CSEI SF. NICOLAE CÂMPULUNG,CÂMPULUNG,MUNICIPIUL CÂMPULUNG,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
